class_id,class_name,TP,FP,FN,TN,IoU,F1-Score,mIoU,Mean_F1,AP,average_runtime,total_runtime,num_images
-1,boat,nan,nan,nan,nan,nan,nan,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
5,car,557488,1708870,369133,380381469,0.21153098227237355,0.34919615819584154,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
10,person,17032,334497,64282,382601149,0.040960917339849114,0.07869828090092712,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
4,buoy,27339,41094359,48020,341847242,0.0006640560423561803,0.0013272307291270831,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
3,building,1482847,13779996,933190,366820927,0.0915561853942876,0.1677535002217335,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
12,piling,256520,13527580,111886,369120974,0.018460007084060103,0.03625082370570979,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
17,water,112267766,74683197,48641277,147424720,0.47653422710357524,0.6454767093863616,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
9,mountain,5858459,101705941,1672040,273780520,0.05363099529790608,0.10180223538838155,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
15,sky,75864616,36876143,37941172,232335029,0.5034752043362121,0.6697485969627248,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
16,vegetation,42301868,9033324,23800519,307881249,0.5630061582833761,0.7204145105886421,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
8,gangway,183104,9185136,95639,373553081,0.019347669174553057,0.03796088372914102,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
2,bridge,778539,17370706,255459,364612256,0.042301087808855824,0.08116865328766361,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
7,float,53899,39578455,66190,343318416,0.0013577072247284434,0.0027117327103644926,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
11,pier,705817,25639482,1629996,355041665,0.025230010979330156,0.04921824509454166,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
18,wharf,128547,20047701,321402,362519310,0.006271304271465265,0.01246444024557702,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
14,shore-natural,1989277,127913649,2057249,251056785,0.015074828447294799,0.029701905760689488,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
13,shore-artificial,3969799,149039072,2547910,227460179,0.025519935386166162,0.04976974996893935,0.13093257977789935,0.18960397855477287,nan,0.7588954135062173,788.4923346329597,1039
