class_id,TP,FP,FN,TN
2,553265,225163,480733,381757799
3,0,0,2416037,380600923
4,34788,21642,40571,382919959
5,368650,100163,557971,381990176
7,0,0,120089,382896871
8,0,6982,278743,382731235
9,19961,210,7510538,375486251
10,61256,183977,20058,382751669
11,0,0,2335813,380681147
12,93794,1937,274612,382646617
13,3466535,152402382,3051174,224096869
14,0,107937,4046526,378862497
15,26683223,176595,87122565,269034577
16,1280526,29370,64821861,316885203
17,13203705,155534,147705338,221952383
18,148579,2159507,301370,380407504
-1,0,2591191,0,380425769
