class_id,TP,FP,FN,TN
3,339220167,8299957,1251867907,1990764461
5,958178277,22196455,339000749,2270777011
11,34076802,29029798,20308712,3506737180
14,154736,476047,1104894,3588416815
15,136462,4487942,171385,3585356703
17,0,0,103878,3590048614
-11,0,1177732654,0,2412419838
-1,0,1373648,0,3588778844
-9,0,29141840,0,3561010652
-8,0,42111,0,3590110381
-7,0,18848384,0,3571304108
-6,0,499872,0,3589652620
-5,0,608760,0,3589543732
-4,0,3188158,0,3586964334
-3,0,765623,0,3589386869
-2,0,593648,0,3589558844
-10,0,2995695,0,3587156797
