class_id,class_name,TP,FP,FN,TN,IoU,F1-Score,mIoU,Mean_F1,AP,average_runtime,total_runtime,num_images
11,Boat/ship,34076802,29029798,20308712,3506737180,0.4085197451518254,0.580069603650165,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
-1,car,nan,nan,nan,nan,nan,nan,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
15,Swimmer,136462,4487942,171385,3585356703,0.028454546269654483,0.05533457238895587,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
14,Buoy,154736,476047,1104894,3588416815,0.08915022783616998,0.1637060261434935,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
-2,building,nan,nan,nan,nan,nan,nan,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
-3,piling,nan,nan,nan,nan,nan,nan,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
3,Water,339220167,8299957,1251867907,1990764461,0.2120937261159234,0.3499625838268533,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
-4,mountain,nan,nan,nan,nan,nan,nan,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
5,Sky,958178277,22196455,339000749,2270777011,0.7262362313067723,0.8414100204083964,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
-5,vegetation,nan,nan,nan,nan,nan,nan,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
-6,gangway,nan,nan,nan,nan,nan,nan,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
-7,bridge,nan,nan,nan,nan,nan,nan,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
17,Float,0,0,103878,3590048614,0.0,0.0,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
-8,pier,nan,nan,nan,nan,nan,nan,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
-9,wharf,nan,nan,nan,nan,nan,nan,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
-10,shore-natural,nan,nan,nan,nan,nan,nan,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
-11,shore-artificial,nan,nan,nan,nan,nan,nan,0.2440757461133909,0.3317471344029774,nan,0.009609443164987385,25.03259944479214,2605
