true_class \ predicted_class,traffic light,stop sign,dirt,gravel,mud,platform,railing,sand,stairs,wall-concrete,wall-stone,wall-wood
traffic light,0.645212,0.021978,0.11617,0.032967,0,0.0612245,0.0313972,0.00313972,0.0188383,0.00313972,0.00627943,0.0596546
stop sign,0.0533333,0.786667,0.08,0,0,0.0266667,0,0,0,0,0.04,0.0133333
dirt,0.0498866,0.00680272,0.294785,0.136054,0.131519,0.129252,0.0226757,0.0340136,0.0340136,0.015873,0.0793651,0.0657596
gravel,0.0530973,0,0.0973451,0.300885,0.0530973,0.221239,0.0265487,0.00884956,0.0442478,0.00884956,0.132743,0.0530973
mud,0.1875,0,0.125,0.0625,0.375,0.0625,0,0,0,0,0.1875,0
platform,0.0707965,0,0.0619469,0.0619469,0,0.672566,0.0265487,0,0.0176991,0.0265487,0.00884956,0.0530973
railing,0.0923077,0,0.0307692,0.0461538,0,0.353846,0.292308,0,0.0923077,0,0,0.0923077
sand,0.0424528,0,0.108491,0.113208,0.0801887,0.0896226,0.00471698,0.471698,0,0.0188679,0.0283019,0.0424528
stairs,0.0967742,0,0.0537634,0.0322581,0,0.301075,0.129032,0.0215054,0.268817,0.0107527,0.0107527,0.0752688
wall-concrete,0.119083,0.00517751,0.0865385,0.0288462,0.00295858,0.200444,0.0525148,0.0170118,0.116124,0.0273669,0.0606509,0.283284
wall-stone,0.108696,0.0108696,0.0543478,0.0217391,0.0108696,0.119565,0.0108696,0.0217391,0.0869565,0.0217391,0.326087,0.206522
wall-wood,0.096875,0.00625,0.084375,0.01875,0,0.115625,0.065625,0.00625,0.053125,0.00625,0.0125,0.534375
