class_id,class_name,count,scoreable,top_1_accuracy,top_1_chance,top_1_excess,top_3_accuracy,top_3_chance,top_3_excess,top_5_accuracy,top_5_chance,top_5_excess
111,dirt,441,True,0.2947845804988662,0.08333333333333333,0.21145124716553287,0.6848072562358276,0.25,0.4348072562358276,0.8662131519274376,0.4166666666666667,0.44954648526077096
125,gravel,113,True,0.3008849557522124,0.08333333333333333,0.2175516224188791,0.6814159292035398,0.25,0.43141592920353977,0.8407079646017699,0.4166666666666667,0.4240412979351032
136,mud,16,True,0.375,0.08333333333333333,0.2916666666666667,0.5625,0.25,0.3125,0.625,0.4166666666666667,0.20833333333333331
144,platform,113,True,0.672566371681416,0.08333333333333333,0.5892330383480826,0.8053097345132744,0.25,0.5553097345132744,0.8584070796460177,0.4166666666666667,0.441740412979351
146,railing,65,True,0.2923076923076923,0.08333333333333333,0.208974358974359,0.7230769230769231,0.25,0.47307692307692306,0.7846153846153846,0.4166666666666667,0.3679487179487179
154,sand,212,True,0.4716981132075472,0.08333333333333333,0.38836477987421386,0.7216981132075472,0.25,0.4716981132075472,0.8301886792452831,0.4166666666666667,0.41352201257861637
161,stairs,93,True,0.26881720430107525,0.08333333333333333,0.18548387096774194,0.6021505376344086,0.25,0.3521505376344086,0.7419354838709677,0.4166666666666667,0.32526881720430106
13,stop sign,75,True,0.7866666666666666,0.08333333333333333,0.7033333333333333,0.9066666666666666,0.25,0.6566666666666666,0.96,0.4166666666666667,0.5433333333333332
10,traffic light,637,True,0.6452119309262166,0.08333333333333333,0.5618785975928833,0.8226059654631083,0.25,0.5726059654631083,0.8948194662480377,0.4166666666666667,0.47815279958137097
172,wall-concrete,1352,True,0.027366863905325445,0.08333333333333333,-0.055966469428007884,0.11316568047337278,0.25,-0.13683431952662722,0.2581360946745562,0.4166666666666667,-0.15853057199211046
175,wall-stone,92,True,0.32608695652173914,0.08333333333333333,0.24275362318840582,0.6847826086956522,0.25,0.4347826086956522,0.8260869565217391,0.4166666666666667,0.40942028985507245
177,wall-wood,320,True,0.534375,0.08333333333333333,0.45104166666666673,0.790625,0.25,0.540625,0.925,0.4166666666666667,0.5083333333333333
,,,,,,,,,,,,
OVERALL,,3529,,0.31113629923491076,0.08333333333333333,0.22780296590157745,0.5089260413714933,0.25,0.25892604137149333,0.635590818928875,0.4166666666666667,0.21892415226220835
