true_class \ predicted_class,traffic_cone,snow,cobble,street_light,traffic_light,sidewalk,curb,gravel,soil,wall,fence,guard_rail,pole,traffic_sign
traffic_cone,0.666667,0,0,0,0,0,0,0,0,0,0,0,0.333333,0
snow,0,0.10473,0.111486,0.0608108,0.0202703,0.027027,0.0101351,0.246622,0.0878378,0.00337838,0,0.300676,0.0236486,0.00337838
cobble,0,0,0.18,0.08,0.06,0,0.12,0.27,0.02,0,0,0.13,0.14,0
street_light,0.00536193,0,0.00134048,0.0254692,0.0549598,0,0,0.0670241,0.00670241,0.00134048,0,0,0.823056,0.0147453
traffic_light,0.0119048,0,0.0047619,0.0761905,0.383333,0,0,0.0571429,0.0190476,0.00952381,0,0,0.397619,0.0404762
sidewalk,0.011976,0,0.0479042,0.0898204,0.209581,0,0.137725,0.245509,0.0239521,0.0419162,0.00598802,0.0838323,0.0838323,0.0179641
curb,0,0,0.00526316,0.126316,0.0947368,0,0.0105263,0.231579,0.0105263,0.0157895,0.00526316,0.147368,0.347368,0.00526316
gravel,0.00424628,0.00212314,0.348195,0.00636943,0.014862,0.0106157,0.0488323,0.403397,0.116773,0.00212314,0,0.0360934,0.00636943,0
soil,0,0,0.161731,0.0205011,0.047836,0,0.0296128,0.414579,0.214123,0.0022779,0,0.0364465,0.0683371,0.00455581
wall,0.00826446,0,0.0826446,0.0495868,0.190083,0,0.0826446,0.330579,0,0.0826446,0,0.0826446,0.0578512,0.0330579
fence,0.00503778,0,0.0957179,0.0302267,0.118388,0,0.0176322,0.108312,0.0251889,0.141058,0.256927,0.143577,0.0277078,0.0302267
guard_rail,0,0.0149254,0.0447761,0.104478,0.0298507,0,0.119403,0.0746269,0,0.0149254,0.0149254,0.447761,0.119403,0.0149254
pole,0.00318205,0,0.00217719,0.041869,0.108525,0,0.00100486,0.0360074,0.0108859,0.00234467,0,0.000837381,0.777759,0.0154078
traffic_sign,0.0702028,0,0.0358814,0.0460218,0.145086,0,0.000780031,0.220749,0.0187207,0.00234009,0,0,0.119345,0.340874
