true_class \ predicted_class,traffic light,stop sign,dirt,gravel,mud,platform,railing,sand,stairs,wall-concrete,wall-stone,wall-wood
traffic light,0.690738,0.0172684,0.0408163,0,0,0.00941915,0.0125589,0.00470958,0.0722135,0.00313972,0.0141287,0.135008
stop sign,0.0666667,0.826667,0.0266667,0,0,0,0.0133333,0,0.0133333,0,0,0.0533333
dirt,0.00907029,0.00453515,0.473923,0.00680272,0.0612245,0.0770975,0.0521542,0.0839002,0.0657596,0.00453515,0.0498866,0.111111
gravel,0.00884956,0,0.19469,0.123894,0.0353982,0.123894,0.079646,0.0530973,0.141593,0.0442478,0.0884956,0.106195
mud,0,0,0.4375,0,0.25,0,0.0625,0.0625,0,0,0,0.1875
platform,0.0265487,0.00884956,0.0530973,0.00884956,0,0.424779,0.0707965,0.0265487,0.132743,0.0176991,0.0353982,0.19469
railing,0,0,0,0,0,0.230769,0.415385,0,0.215385,0,0.0461538,0.0923077
sand,0.00943396,0,0.165094,0.00943396,0.0424528,0.0518868,0.0235849,0.608491,0.0141509,0.00943396,0.0235849,0.0424528
stairs,0.0107527,0,0.0430108,0,0,0.0645161,0.0967742,0,0.612903,0,0.0645161,0.107527
wall-concrete,0.0192308,0.00517751,0.0303254,0,0.00295858,0.0902367,0.0939349,0.022929,0.221893,0.0517751,0.0207101,0.440828
wall-stone,0.0326087,0.0108696,0.0326087,0,0.0108696,0.0869565,0.0543478,0.0217391,0.0869565,0.076087,0.26087,0.326087
wall-wood,0.015625,0.003125,0.028125,0,0.003125,0.040625,0.09375,0.00625,0.15625,0.00625,0.0125,0.634375
