true_class \ predicted_class,traffic_cone,snow,cobble,street_light,traffic_light,sidewalk,curb,gravel,soil,wall,fence,guard_rail,pole,traffic_sign
traffic_cone,0.666667,0,0,0,0.333333,0,0,0,0,0,0,0,0,0
snow,0,0.766892,0.00337838,0.0844595,0,0.0202703,0.00337838,0,0,0.0236486,0,0.0202703,0.0777027,0
cobble,0,0.21,0.08,0.05,0,0.2,0.08,0,0,0.12,0,0.02,0.24,0
street_light,0.00268097,0.0348525,0.00670241,0.101877,0.0080429,0,0,0,0.00134048,0.0576408,0,0,0.786863,0
traffic_light,0.00952381,0.0809524,0,0.12381,0.228571,0,0,0,0,0.471429,0,0,0.0833333,0.00238095
sidewalk,0,0.149701,0.00598802,0.0838323,0,0.167665,0.00598802,0,0,0.371257,0.00598802,0.0239521,0.185629,0
curb,0,0.105263,0.00526316,0.152632,0,0.00526316,0.0157895,0,0,0.1,0,0.0526316,0.563158,0
gravel,0.0530786,0.394904,0.00212314,0.0552017,0,0.0254777,0.0382166,0.123142,0.0955414,0.0955414,0.00212314,0.00849257,0.104034,0.00212314
soil,0.0022779,0.364465,0.0136674,0.0182232,0,0.00683371,0.00455581,0.00683371,0.218679,0.118451,0,0.00455581,0.241458,0
wall,0.00826446,0.272727,0.00826446,0.0165289,0,0.0247934,0.00826446,0,0,0.495868,0,0.0413223,0.123967,0
fence,0,0.0982368,0.00251889,0.00251889,0,0,0,0,0,0.397985,0.405542,0.0302267,0.0629723,0
guard_rail,0,0.0447761,0,0.0149254,0,0,0,0,0,0.0447761,0,0.597015,0.298507,0
pole,0.00368447,0.0745269,0.00100486,0.0825657,0.0232792,0,0,0,0.00100486,0.384023,0,0.000334952,0.429409,0.000167476
traffic_sign,0.0639626,0.0803432,0.0639626,0.0608424,0.135725,0,0,0,0,0.301872,0,0,0.0522621,0.24103
